,App,Rating,Reviews,Installs,Sentiment_Polarity
0,X Launcher Pro - IOS Style Theme & Control Center,4.8,1216,"10,000+",
1,"Canva: Poster, banner, card maker & graphic design",4.7,174531,"10,000,000+",0.204839569
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",4.7,87510,"5,000,000+",
3,Colorfit - Drawing & Coloring,4.7,20260,"500,000+",0.171835953
4,UNICORN - Color By Number & Pixel Art Coloring,4.7,8145,"500,000+",
5,Superheroes Wallpapers | 4K Backgrounds,4.7,7699,"500,000+",
6,X Launcher: With OS11 Style Theme & Control Center,4.7,5754,"100,000+",
7,Photo Designer - Write your name with shapes,4.7,3632,"500,000+",
8,ibis Paint X,4.6,224399,"10,000,000+",
9,Mandala Coloring Book,4.6,4326,"100,000+",
10,Install images with music to make video without Net - 2018,4.6,1070,"100,000+",
11,Sketch - Draw & Paint,4.5,215644,"50,000,000+",
12,Anime Manga Coloring Book,4.5,5035,"100,000+",0.360990767
13,Textgram - write on photos,4.4,295221,"10,000,000+",
14,Text on Photo - Fonteee,4.4,13880,"1,000,000+",
15,Garden Coloring Book,4.4,13791,"1,000,000+",0.268482894
16,Name Art Photo Editor - Focus n Filters,4.4,8788,"1,000,000+",
17,3D Color Pixel by Number - Sandbox Art Coloring,4.4,1518,"100,000+",
18,FlipaClip - Cartoon animation,4.3,194216,"5,000,000+",0.41264881
19,Tattoo Name On My Photo Editor,4.2,44829,"10,000,000+",
20,Pink Silver Bow Keyboard Theme,4.2,1120,"100,000+",
21,Easy Origami Ideas,4.2,1015,"100,000+",0.099452614
22,Infinite Painter,4.1,36815,"1,000,000+",
23,Floor Plan Creator,4.1,36639,"5,000,000+",0.264615476
